"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","D_hrs_missing"
"AEC",0.364860149085367,0.249703071672398,0.211466850302731,0.163325367747332,0.308928054803067,0.544258152884454,0.406340027427037,0,0,"N",525.872985063591,0
"AECI",0.945912799589408,0.887653031497169,0.761822549982695,0.88875340181596,0.814641729228273,0.895954241800255,1.00797730357486,0.883209069775883,1.0417873912155,"N",2561.1605406746,0
"AVA",0.732655251529055,0.595430105457403,0.561711869213485,0.624821634613012,0.712225349731694,0.574750544398027,0.829175445707462,0.809564110890166,0.989687739268106,"N",1412.39954365079,0
"AVRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"AZPS",1.02427977451748,1.18035943924902,1.44985724349631,1.33368456966702,1.16949129435746,0.764382965863034,0.519920086402021,0.535513128875569,0.420389851942909,"N",3570.92302604803,0
"BANC",0.578036306962306,0.217307927118904,0.390978079574376,0.371526869907717,0.516202967277032,0.546127394550361,0.508335062879964,0.70960996185341,1.02128308466442,"N",1991.10798611111,0
"BPAT",1.92896194992964,1.6359849663283,1.70892064001531,1.68310556370508,1.86016638096121,1.72099460224251,1.8580545301888,1.91943324662143,2.10848821251682,"N",6401.79656862745,0
"CHPD",0.238336580770688,0.148101594884948,0.0479587828271275,0.187077789997198,0.189034788230797,0.130704417685749,0.234885472735868,0.279212963854861,0.648498816051853,"N",224.610697914052,0
"CISO",1.87624328051845,1.72783256745672,1.73362084480837,1.68918586838748,1.72615404577194,1.82371324609621,1.92646393356915,1.91413026637958,1.92110887446107,"N",25440.6067724538,0
"CPLE",1.16594023719747,1.07952956052594,1.00154007901667,1.00826537893015,1.16693140312387,1.09771959548608,1.16121141414148,1.18050928910966,1.08631487649067,"N",6976.46440972222,0
"CPLW",0.900095071268339,0.945968013542456,0.957774095640988,0.948042146664416,0.753848673834256,0.637160748526891,0.87346739194732,0.961537245099232,0.740345986620865,"N",572.752869994848,0
"DEAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"DOPD",0.467485210050458,0.236664187806403,0.491866533845202,0.529591361567547,0.689479915769572,0.58689920843645,0.524342534668394,0.307830524203328,0.40326603710982,"N",207.563073833838,0
"DUK",1.64985653141444,1.8106811707208,1.62224089348307,1.68293300690748,1.5831703625357,1.48367802419715,1.55436007581953,1.61572694706024,1.50482256909373,"N",12001.8200768849,0
"EEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"EPE",0.735804924849148,0.757405542206073,0.744432109515659,0.643992971586427,0.62407934457434,0.480875888091333,0.682097106083985,0.789828633543035,0.620153959599119,"N",987.22817586134,0
"ERCO",0.197087100514633,0.0531494964374284,0.063087950798859,0.0850610420666177,0.153446621025873,0.315536108779329,0.260967497388412,0.231267609932326,0.161082637375692,"N",44347.6427071086,0
"FMPP",0.883966794194336,0.926629697942889,0.922221366830743,0.792917613610698,0.928438467390647,0.907774017715614,0.849286460146375,0.800505175723464,0.759846286382985,"N",2084.23710318771,0
"FPC",1.55964975639531,1.58600496863566,1.57155468000626,1.70905580783306,1.59354207703186,1.5068760450474,1.53816686055974,1.41534003332528,1.35610729355528,"N",6247.34830970844,0
"FPL",1.05286482539547,1.17961198023494,1.16039511230077,0.871097147777662,0.886815118969527,0.904588204101587,0.948577408424424,1.06908913546853,1.00464596901699,"N",15082.1916666667,0
"GCPD",0.822478572629986,0.579709936065654,0.656641994694873,0.751363281604762,0.827657890307023,0.482948424439913,0.746561258614541,0.848783160500066,1.03070760182996,"N",623.424561079039,0
"GLHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GVL",0.455110327573622,0.40882076615291,0.415877318635456,0.210815299753069,0.495921858525786,0.511670102615801,0.60837616757641,0.625584031104595,0.35299941606628,"N",225.194961491208,0
"GWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"HGMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"HST",0,0,0,0,0,0,0,0,0,"N",66.3224698468896,0
"IID",0.952882737019471,0.888309802293408,0.987770251583105,1.03491682650243,0.795281000266858,0.809122835847295,0.736521831976049,0.711907527951718,1.05835697344169,"N",422.044876283076,0
"IPCO",0.771456612717076,0.822999330710943,0.839759620041477,0.867056026775357,0.640284415766705,1.01944736140917,0.560790533569138,0.763574861220682,0.562566926611852,"N",1999.86687715497,0
"ISNE",0.911491990532271,0.976179818350564,0.872545875968182,0.92513781080265,0.93545068903986,0.920068437986781,0.855506991369298,0.787365823426111,0.892511491319999,"N",13626.7206758524,0
"JEA",0.119306962122091,0.0444940264495069,0.0625594481879292,0.0434507684090509,0.0599309480535564,0.0501520900844809,0.177502760333077,0.185069141912739,0.182630357732599,"N",1503.58101377862,0
"LDWP",1.23027863253492,1.21752430372798,1.17224507864521,1.19270466187725,1.20675943646414,1.06696409045517,1.19776013338091,1.25191297344244,1.35434081753718,"N",3058.58857391971,0
"LGEE",1.40112060378541,1.25819380929645,1.26309584726504,1.20757985893675,0.927655719112326,0.809430341472409,1.22629331298575,1.23085780574515,0.985199645848357,"N",4071.66487331035,0
"MISO",1.73911902237732,1.8798237442744,1.82671607955039,1.84174508351996,1.78710048660443,1.61927240059122,1.6061462120524,1.66957596469364,1.39417624672427,"N",73946.8672849292,0
"NEVP",1.32649618735789,1.37148503700592,1.38407558880788,1.26823322397722,1.3253512839273,1.31963648889606,1.21221700322243,1.17164148838528,1.0452205355391,"N",4306.14584461736,0
"NSB",0.692254886047051,0.679287068253149,0.693071841146171,0.623442415781586,0.658546224598591,0.657858189967474,0,0,0,"N",47.2020984135792,0
"NWMT",1.67805867759586,1.31768155511611,1.43915300748719,1.56992602459634,1.65170260209088,1.52535960672194,1.66905031770864,1.66355142829106,1.64094424733052,"N",1337.34517880497,0
"NYIS",1.16786376886392,1.14944786887432,1.23169319441663,1.15811197809378,1.10436052323728,1.10744531646837,1.16055150840005,1.17089722496079,0.95777989777675,"N",17672.2477554563,0
"OVEC",0.015246269276792,0.0598007976977751,0,0,0,0,0,0,0,"N",51.6086666444274,0
"PACE",1.17129671524478,0.963636646154246,1.02846707732444,1.00650747807554,1.04831436985763,1.08912946039722,0.998189047312984,1.22837601003367,1.00238728979299,"N",5581.16066686923,0
"PACW",1.18841138955447,0.89200381943972,1.0029187306895,0.858534195494727,1.16089871932528,1.14827764708567,1.19994762103494,1.26373783834403,1.33054600679079,"N",2361.05800653595,0
"PGE",0.175126122962792,0.30317530168716,0.276354338105598,0.306293469140788,0.186542047565461,0.075318455292776,0.0861657896878439,0.0610644507295929,0.00265950217066175,"N",2394.8021321849,0
"PJM",1.64884974573987,1.62365149710276,1.48019850780649,0.850909611938462,0.906045713264233,1.30287443505375,1.38022746239429,1.53599787513955,1.35048771344952,"N",91168.0339285714,0
