"","IDp95","ID","gen_only?","avg_demand","TI_hrs_missing","D_hrs_missing"
"AEC",0.00996080557119806,0.0581260776556688,"N",525.872985063591,48,48
"AECI",0.18043422670526,0.0699736365056567,"N",2561.1605406746,24,24
"AVA",0.451184092037319,0.369453628773126,"N",1412.39954365079,409,409
"AVRN",NA,NA,"Y",NA,NA,NA
"AZPS",0.329275090085429,0.230024701184074,"N",3570.92302604803,24,24
"BANC",0.24706642214742,0.254539484867608,"N",1991.10798611111,288,264
"BPAT",0,0,"N",6401.79656862745,24,24
"CHPD",0.000998423541776143,0.000938437685374879,"N",224.610697914052,24,24
"CISO",0.189859397986852,0.234863288539524,"N",25440.6067724538,152,25
"CPLE",0.0769745159552271,0.0355716959029597,"N",6976.46440972222,24,24
"CPLW",0.306591216089042,0.328722506912973,"N",572.752869994848,24,24
"DEAA",NA,NA,"Y",NA,NA,NA
"DOPD",0.0157854919591907,0.016164761407183,"N",207.563073833838,981,360
"DUK",0.00740205006030768,0.0142164342302322,"N",12001.8200768849,24,24
"EEI",NA,NA,"Y",NA,NA,NA
"EPE",0.408793676723592,0.404928950771408,"N",987.22817586134,24,24
"ERCO",0.00955123406275693,0.00394915533038936,"N",44347.6427071086,72,72
"FMPP",0.0278729180642674,0.0350873358898872,"N",2084.23710318771,99,75
"FPC",0.221283793147036,0.236978627076222,"N",6247.34830970844,24,24
"FPL",0.0132639083332266,0.00426315774320958,"N",15082.1916666667,48,48
"GCPD",0.0140908158067764,0.0252040009159987,"N",623.424561079039,24,24
"GLHB",NA,NA,"Y",NA,NA,NA
"GRID",NA,NA,"Y",NA,NA,NA
"GRIF",NA,NA,"Y",NA,NA,NA
"GRMA",NA,NA,"Y",NA,NA,NA
"GVL",0.124905276687993,0.0963363549287286,"N",225.194961491208,2813,2813
"GWA",NA,NA,"Y",NA,NA,NA
"HGMA",NA,NA,"Y",NA,NA,NA
"HST",0.999075688932218,0.999308111107258,"N",66.3224698468896,721,720
"IID",0.0957504384714671,0.0160186072851208,"N",422.044876283076,168,168
"IPCO",0.386021580366843,0.289598556450829,"N",1999.86687715497,25,25
"ISNE",0.128279197213086,0.167277001353128,"N",13626.7206758524,24,24
"JEA",0.237855535881531,0.265228721377114,"N",1503.58101377862,86,75
"LDWP",0.100781542336248,0.193811468321459,"N",3058.58857391971,299,292
"LGEE",0.0498690393785603,0.0599748839661564,"N",4071.66487331035,60,44
"MISO",0.0560714074651269,0.064606396037771,"N",73946.8672849292,24,24
"NEVP",0.273458583392518,0.171411953963474,"N",4306.14584461736,241,241
"NSB",0.990861864771749,0.996233075747465,"N",47.2020984135792,1901,1829
"NWMT",0.0241704823877644,0.0113709053929816,"N",1337.34517880497,24,24
"NYIS",0.140094965318059,0.167591434163587,"N",17672.2477554563,24,24
"OVEC",0,0,"N",51.6086666444274,6406,6526
"PACE",0.0852214238171565,0.0451231443775219,"N",5581.16066686923,650,192
"PACW",0.599155631132281,0.456990281689077,"N",2361.05800653595,2187,192
"PGE",0.690530369626188,0.709613204455404,"N",2394.8021321849,792,743
"PJM",0.000729906833285793,0.000330115579090233,"N",91168.0339285714,27,27
"PNM",0.142334793451506,0.0631586969830209,"N",1618.50884176587,24,24
"PSCO",0.0699264043548878,0.0529800565626468,"N",5176.66467627515,24,24
"PSEI",0.593513965936039,0.63357952390241,"N",2628.06247275321,12911,12908
"SC",0.271987191469316,0.340071803120894,"N",2674.60629879652,2933,2933
"SCEG",0.00331400827450862,0.00944342189504194,"N",2780.47033568041,97,97
"SCL",0.489809706584972,0.40693664298317,"N",1092.41102461128,27,26
"SEC",0,0,"N",190.170297369777,196,196
"SEPA",NA,NA,"Y",NA,NA,NA
"SOCO",0.00620833982100714,0.00666144630562531,"N",26371.8360965428,1206,1204
"SPA",0,0.00321007774797836,"N",66.7881025668124,168,168
"SRP",4.50155590401995e-05,0.00377302968932336,"N",3570.61029265873,945,920
"SWPP",0.00585363966663026,0.00576903958997979,"N",30784.6651909722,2208,48
"TAL",0.0136562456566997,0.0143353907473299,"N",317.553126279773,720,24
"TEC",0.0227731787822426,0.0163016192949102,"N",2481.26436979008,72,72
"TEPC",0.362444192662613,0.272341067445791,"N",1544.9337320334,1431,1428
"TIDC",0.277881973248041,0.339170790311744,"N",315.424402552281,72,72
"TPWR",0.426673624896432,0.517115572720833,"N",556.383515859281,24,24
"TVA",0.0573182244182108,0.0203409845430066,"N",18060.997805197,503,429
"WACM",0.00247572510385619,0.000449415829868863,"N",2845.91032551258,528,480
"WALC",0.0615913767800978,0.149150296195709,"N",1059.48943140985,24,24
"WAUW",0.503868704281049,0.335599568545964,"N",92.6547419316485,1465,1703
"WWA",NA,NA,"Y",NA,NA,NA
"YAD",NA,NA,"Y",NA,NA,NA
