"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","TI_hrs_missing","D_hrs_missing"
"AEC",0.0409345244110888,0.0239453656148064,0.009349879159026,0.0215707807072451,0.0711376515995452,0.0688585640037702,0.0758037578417095,NA,NA,"N",525.872985063591,48,48
"AECI",0.0586526582860633,0.0229005191439125,0.0292737097860038,0.0376273463876861,0.0451369382598278,0.0604165526604732,0.0868945803625746,0.079078406294129,0.108034855074665,"N",2561.1605406746,24,24
"AVA",0.391305954060197,0.430874461276551,0.462034454856768,0.39906143171573,0.398804752580512,0.353697394684522,0.331987372657205,0.357722433179457,0.375816232737907,"N",1412.39954365079,409,409
"AVRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"AZPS",0.171070957009969,0.000230377082599418,0.000275424545970143,8.6045627889904e-05,6.45362528773959e-05,0.238927196959053,0.370501151990255,0.335460150244065,0.402513184521469,"N",3570.92302604803,24,24
"BANC",0.249192864844509,0.252050624369168,0.232968426825215,0.259412891238279,0.174700938688239,0.282987132721645,0.250712055213655,0.397234628751953,0.158382941265162,"N",1991.10798611111,288,264
"BPAT",0,0,0,0,0,0,0,0,0,"N",6401.79656862745,24,24
"CHPD",0.0025061820844123,0.000468650070503059,3.71012622494657e-05,0.000480573250388275,0.00227947594924164,0.000106302979239422,0.000283288560097029,0.000358616371012394,0.00205283741396122,"N",224.610697914052,24,24
"CISO",0.24177844638857,0.275503478324102,0.264505287086493,0.276292195608677,0.251504005431895,0.272484744721166,0.248892916425283,0.218221464059189,0.14106467543005,"N",25440.6067724538,152,25
"CPLE",0.0302833369615446,0.0168992984025815,0.0195304716242394,0.0318764627371431,0.0279330216958706,0.0341748130219579,0.0454869069773582,0.0413878465747701,0.0325722524850186,"N",6976.46440972222,24,24
"CPLW",0.416571773281624,0.643933082515519,0.66356395603399,0.562154259462332,0.581642580367014,0.255808322086551,0.192450394937897,0.188729841617177,0.173933183479055,"N",572.752869994848,24,24
"DEAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"DOPD",0.0161022516561012,0.00291708411506865,0.00439148812034878,0.00452725594758669,0.0155320083513035,0.00315850861966636,0.013189764454176,0.0105183179081762,0.0432770577639338,"N",207.563073833838,981,360
"DUK",0.0158403526264929,0.0186780353711284,0.0166306083608526,0.0112994674405769,0.0135624923663823,0.0126897315924928,0.0105760914251383,0.019183232031077,0.0179025388710005,"N",12001.8200768849,24,24
"EEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"EPE",0.439630444978259,0.548856106478969,0.516942899555481,0.385183849323022,0.364682391915514,0.417744937731339,0.444389151097993,0.462765741465494,0.355436451771441,"N",987.22817586134,24,24
"ERCO",0.00330517739123479,0.00144696454728797,0.00155085182767345,0.00348081905008499,0.00364387071967719,0.00397211762451198,0.00404795941223311,0.00495218203725591,0.00353105477719042,"N",44347.6427071086,72,72
"FMPP",0.0399540164974825,0.0542785806777111,0.0595063433133956,0.047945672869839,0.0337654321471353,0.0254954568644205,0.023656954712595,0.0269272418939585,0.0519359809906445,"N",2084.23710318771,99,75
