NAME,EIA Name,Total,2016,2017,2018,2019,2020,2021,2022,2023
"ALCOA POWER GENERATING, INC. - YADKIN DIVISION",AD,,,,,,,,,
ARIZONA PUBLIC SERVICE COMPANY,AZPS,1.02,1.18,1.45,1.33,1.17,0.76,0.52,0.54,0.42
"ARLINGTON VALLEY, LLC - AVBA",DEAA,,,,,,,,,
"ASSOCIATED ELECTRIC COOPERATIVE, INC.",AECI,0.95,0.89,0.76,0.89,0.81,0.9,1.01,0.88,1.04
AVANGRID RENEWABLES LLC,AVRN,,,,,,,,,
AVISTA CORPORATION,AVA,0.73,0.6,0.56,0.62,0.71,0.57,0.83,0.81,0.99
BALANCING AUTHORITY OF NORTHERN CALIFORNIA,BANC,0.58,0.22,0.39,0.37,0.52,0.55,0.51,0.71,1.02
BONNEVILLE POWER ADMINISTRATION,BPAT,1.93,1.64,1.71,1.68,1.86,1.72,1.86,1.92,2.11
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,CISO,1.88,1.73,1.73,1.69,1.73,1.82,1.93,1.91,1.92
CHUGACH ELECTRIC ASSN INC,,,,,,,,,,
CITY OF HOMESTEAD,HST,,,,,,,,,
"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",TPWR,0.01,0,0,0.02,0,0.03,0,0.02,0
CITY OF TALLAHASSEE,TAL,,,,,,,,,
DUKE ENERGY CAROLINAS,DUK,1.65,1.81,1.62,1.68,1.58,1.48,1.55,1.62,1.5
DUKE ENERGY FLORIDA INC,FPC,1.56,1.59,1.57,1.71,1.59,1.51,1.54,1.42,1.36
DUKE ENERGY PROGRESS EAST,CPLE,1.17,1.08,1,1.01,1.17,1.1,1.16,1.18,1.09
DUKE ENERGY PROGRESS WEST,CPLW,0.9,0.95,0.96,0.95,0.75,0.64,0.87,0.96,0.74
EL PASO ELECTRIC COMPANY,EPE,0.74,0.76,0.74,0.64,0.62,0.48,0.68,0.79,0.62
"ELECTRIC ENERGY, INC.",EEI,,,,,,,,,
"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCO,0.2,0.05,0.06,0.09,0.15,0.32,0.26,0.23,0.16
FLORIDA MUNICIPAL POWER POOL,FMPP,0.88,0.93,0.92,0.79,0.93,0.91,0.85,0.8,0.76
FLORIDA POWER & LIGHT COMPANY,FPL,1.05,1.18,1.16,0.87,0.89,0.9,0.95,1.07,1
GAINESVILLE REGIONAL UTILITIES,GVL,,,,,,,,,
"GILA RIVER POWER, LLC",GRMA,,,,,,,,,
"GRIDFORCE ENERGY MANAGEMENT, LLC",GRID,,,,,,,,,
GRIDFORCE SOUTH,,,,,,,,,,
"GRIFFITH ENERGY, LLC",GRIF,,,,,,,,,
HAWAIIAN ELECTRIC CO INC,,,,,,,,,,
IDAHO POWER COMPANY,IPCO,0.77,0.82,0.84,0.87,0.64,1.02,0.56,0.76,0.56
IMPERIAL IRRIGATION DISTRICT,IID,,,,,,,,,
ISO NEW ENGLAND INC.,ISNE,0.91,0.98,0.87,0.93,0.94,0.92,0.86,0.79,0.89
JEA,JEA,0.12,0.04,0.06,0.04,0.06,0.05,0.18,0.19,0.18
LOS ANGELES DEPARTMENT OF WATER AND POWER,LDWP,1.23,1.22,1.17,1.19,1.21,1.07,1.2,1.25,1.35
LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,LGEE,1.4,1.26,1.26,1.21,0.93,0.81,1.23,1.23,0.99
"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",MISO,1.74,1.88,1.83,1.84,1.79,1.62,1.61,1.67,1.39
"NATURENER POWER WATCH, LLC (GWA)",GWA,,,,,,,,,
"NATURENER WIND WATCH, LLC",WWA,,,,,,,,,
NEVADA POWER COMPANY,NEVP,1.33,1.37,1.38,1.27,1.33,1.32,1.21,1.17,1.05
NEW BRUNSWICK SYSTEM OPERATOR,,,,,,,,,,
"NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA",HGMA,,,,,,,,,
"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",NSB,,,,,,,,,
NEW YORK INDEPENDENT SYSTEM OPERATOR,NYIS,1.17,1.15,1.23,1.16,1.1,1.11,1.16,1.17,0.96
NORTHWESTERN ENERGY (NWMT),NWMT,1.68,1.32,1.44,1.57,1.65,1.53,1.67,1.66,1.64
OHIO VALLEY ELECTRIC CORPORATION,OVEC,,,,,,,,,
PACIFICORP - EAST,PACE,1.17,0.96,1.03,1.01,1.05,1.09,1,1.23,1
PACIFICORP - WEST,PACW,1.19,0.89,1,0.86,1.16,1.15,1.2,1.26,1.33
"PJM INTERCONNECTION, LLC",PJM,1.65,1.62,1.48,0.85,0.91,1.3,1.38,1.54,1.35
PORTLAND GENERAL ELECTRIC COMPANY,PGE,0.18,0.3,0.28,0.31,0.19,0.08,0.09,0.06,0
POWERSOUTH ENERGY COOPERATIVE,AEC,0.36,0.25,0.21,0.16,0.31,0.54,0.41,0,0
PUBLIC SERVICE COMPANY OF COLORADO,PSCO,0.26,0.04,0.02,0.06,0.14,0.25,0.38,0.53,0.52
PUBLIC SERVICE COMPANY OF NEW MEXICO,PNM,1.51,0.95,1.25,1.49,1.42,1.38,1.36,1.5,1.62
PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,CHPD,,,,,,,,,
"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",GCPD,0.82,0.58,0.66,0.75,0.83,0.48,0.75,0.85,1.03
PUD NO. 1 OF DOUGLAS COUNTY,DOPD,,,,,,,,,
PUGET SOUND ENERGY,PSEI,0.35,0.22,0.3,0.19,0.28,0.78,0.4,0.4,0.41
SALT RIVER PROJECT,SRP,1.83,1.3,1.41,1.43,1.1,1.14,1.61,1.61,1.68
SEATTLE CITY LIGHT,SCL,0.22,0.27,0.13,0.25,0.21,0.26,0.33,0.09,0.16
SEMINOLE ELECTRIC COOPERATIVE,SEC,,,,,,,,,
SOUTH CAROLINA ELECTRIC & GAS COMPANY,SCEG,0.33,0.16,0.23,0.37,0.51,0.5,0.4,0.31,0.15
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,SC,1.16,1.19,1.19,1.15,1.18,1.2,1.17,1.09,1.03
SOUTHEASTERN POWER ADMINISTRATION,SEPA,,,,,,,,,
"SOUTHERN COMPANY SERVICES, INC. - TRANS",SOCO,1.36,1.55,1.25,1.27,1.34,1.38,1.23,1.29,1.26
SOUTHWEST POWER POOL,SWPP,1.71,1.54,1.77,1.87,1.61,0.83,1.47,1.62,1.58
SOUTHWESTERN POWER ADMINISTRATION,SPA,,,,,,,,,
TAMPA ELECTRIC COMPANY,TEC,0.81,0.77,0.68,1.28,1.03,0.79,0.88,0.66,0.45
TENNESSEE VALLEY AUTHORITY,TVA,0.66,0.62,0.78,0.75,0.71,0.65,0.6,0.47,0.59
TUCSON ELECTRIC POWER COMPANY,TEPC,1.48,1.33,1.32,1.33,1.5,1.46,1.45,1.48,1.59
