"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","D_hrs_missing"
"AEC",0.226780516529939,0.15999364133552,0.152947207012412,0.173998696016926,0.308297220143157,0.287198614571825,0.294148319668918,0,0,"N",525.872985063591,0
"AECI",0.518403891618425,0.494357249361069,0.506673170212832,0.476245678698627,0.454767996447341,0.507853579658376,0.567103604998004,0.526781424072599,0.550794249411762,"N",2572.14573893285,0
"AVA",0.714775621591669,0.659655048677375,0.641516973047266,0.663757854444337,0.688177381472732,0.624679506242298,0.717609997908291,0.745975612276561,0.813930197610842,"N",1410.98136914277,0
"AVRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"AZPS",0.963937868790619,0.842303252279867,0.850796243310519,0.835908896846521,0.636389312840511,0.782379916285638,0.498395551131155,0.545435317817285,0.408877190472083,"N",3574.89006024096,0
"BANC",0.636183497573734,0.45260708655051,0.542542812418268,0.53322700567769,0.594238669739305,0.629834315194822,0.597691601598487,0.719901520085048,0.721799489614202,"N",1981.64116147271,0
"BPAT",1.1880437914416,1.0913073955749,1.14928375981414,1.06302032357929,1.07050582817038,1.09604139982699,1.14340650961235,1.2263587688825,1.21356769589455,"N",6394.18646709909,0
"CHPD",0.353070981159181,0.333595413209756,0.329785724159455,0.297254820665987,0.400327339716132,0.355617064194248,0.368459029062011,0.293139760910239,0.344782589508493,"N",224.610697914052,0
"CISO",0.8427761105706,0.863441579171942,0.8303175434448,0.848119452813352,0.818540552566645,0.885321759894621,0.863235284108061,0.808547231609186,0.636364317171815,"N",25511.0288782911,0
"CPLE",0.312085258651373,0.285245434281429,0.283156756946394,0.31137785856978,0.284369656588571,0.312024010055373,0.332766089305195,0.367495843345178,0.297255195593075,"N",6967.66018468367,0
"CPLW",0.771206945336965,0.895545670534512,0.909690910117722,0.856684840976298,0.756689393055434,0.576974411690887,0.568213781544963,0.611816842319401,0.493246790690954,"N",572.752869994848,0
"DEAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"DOPD",0.439749712937476,0.322666160627744,0.345613161898975,0.331157657884021,0.389514761211468,0.238061963203081,0.42754338507437,0.436808611678863,0.549129954473721,"N",207.563073833838,0
"DUK",0.345903717341223,0.363975149934109,0.324776376323063,0.309768720217058,0.328202044440016,0.339268341564413,0.325098477193327,0.363688369172845,0.366333544159487,"N",11964.0414283261,0
"EEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"EPE",0.707801000015883,0.746127836174943,0.728995931719897,0.630617482397118,0.630356788497042,0.582564053142705,0.672771323565234,0.740996628545326,0.647672959060457,"N",987.22817586134,0
"ERCO",0.0223868631224302,0.00991459020513899,0.0113460621421331,0.0275674515318163,0.0282113565175102,0.0244656313592574,0.0242276307448105,0.0293224558454559,0.0232091025461521,"N",44347.6427071086,0
"FMPP",0.569796824788995,0.593561912847198,0.596263700623381,0.520586376741214,0.559052737027648,0.554877745577119,0.538646307703484,0.541582733974269,0.591025174038038,"N",2084.23710318771,0
"FPC",0.801393857287092,0.813225546303593,0.838271958690567,0.832176255698842,0.781956565781913,0.790374620721302,0.763970912663867,0.708786409325398,0.787037230895489,"N",6247.34830970844,0
"FPL",0.324202268265995,0.379347887241461,0.360628098729284,0.314184117752245,0.308280159046842,0.264249021569392,0.272815354720579,0.284472232990197,0.311825416185015,"N",14910.3965018429,0
"GCPD",0.51135419879261,0.459478070686607,0.451591654475526,0.478030237410405,0.498012081942029,0.437765134815008,0.519994857535691,0.470869165331388,0.60438050442124,"N",623.424561079039,0
"GLHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GRMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"GVL",0.388485393197036,0.471201443141455,0.453459745685132,0.312459765867555,0.350694135065604,0.353018490236868,0.331343802078216,0.318351537784786,0.387181806539562,"N",225.194961491208,0
"GWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"HGMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"HST",0.0210657237927525,0.0682175308655734,0.0160744262708336,0.0623190485674169,0.000723700352501605,0.0058017458524405,-0.00172455230226123,0.000616501927589127,0.000710779053778115,"N",66.3224698468896,0
"IID",0.199400794422767,0.091205543795502,0.11486268362891,0.215589936899915,0.228870488550118,0.249159200654174,0.25494157318956,0.170926334193687,0.21937399283277,"N",422.044876283076,0
"IPCO",0.753199374210609,0.759115579836548,0.729319177906503,0.750563214047291,0.654648711933847,0.807942442905463,0.640580883103572,0.768760897764834,0.632850256590794,"N",1999.86687715497,0
"ISNE",0.465062140412807,0.462416260915135,0.460753914105243,0.472448445267776,0.501813706809862,0.510838446027064,0.447131345512405,0.420424518149968,0.416288507692061,"N",13626.7206758524,0
"JEA",0.374042608532195,0.24010791305319,0.238312845649378,0.378714124452488,0.390270975112302,0.340392942333921,0.407485728942649,0.419492895029538,0.425439605010763,"N",1503.58101377862,0
"LDWP",1.19296304806925,0.0416512353164113,1.18541444503434,1.21062400243478,1.21467350413347,1.0684785108497,1.18678530015484,1.24648836474595,1.28862690916156,"N",3058.58857391971,0
"LGEE",0.458139598767817,0.391948366125238,0.426411736592603,0.435919623051307,0.402102779139088,0.358819716572931,0.432390491107813,0.468266827060088,0.447912453471138,"N",4071.66487331035,0
"MISO",0.373035977915978,0.371867576057569,0.395289223433313,0.344026452964679,0.394080171396773,0.427576221514585,0.347934090039118,0.353625974019697,0.345496994044037,"N",73946.8672849292,0
"NEVP",0.794739936923796,0.734923064745088,0.796370911590966,0.74273379731934,0.67308375855457,0.785759061340658,0.854222422758213,0.82984817555004,0.741661997151091,"N",4306.14584461736,0
"NSB",0.698390342977738,0.681904084164965,0.695450286102575,0.646318566059903,0.66812004531367,0.696390413984514,0,0,0,"N",47.2020984135792,0
"NWMT",0.580719373177581,0.469517493912417,0.517777758848393,0.525181618307547,0.536203386827611,0.616177077474936,0.611783045436701,0.618043870534199,0.623337999922889,"N",1337.34517880497,0
"NYIS",0.545828726455848,0.51829361510672,0.561267488149369,0.556273294118575,0.536931514632731,0.529431875721831,0.568232327106473,0.567470154932244,0.504455791769933,"N",17681.3143453505,0
"OVEC",-3.69152415001064,-1.08602443339991,-3.73420043182298,-7.34858505614881,0,0,0,0,0,"N",51.6086666444274,0
